Subject,Segment,APPG_SpectralEntropy,JPPG_SpectralEntropy,APPG_AttentionEntropy,JPPG_AttentionEntropy,APPG_DispersionEntropy,JPPG_DispersionEntropy,APPG_SlopeEntropy,JPPG_SlopeEntropy
2,Segment 1,2.3134996072604164,4.042557215576992,11.03617347405109,11.03617360763798,1.6663904120324877,1.8594515836451793,0.0907519061432528,0.0022113600903689162
2,Segment 2,2.7677541525789384,3.9127059664649675,11.036173527038478,11.036173608548275,1.8230418957023604,1.9041560667005197,0.06358575349530737,0.0
2,Segment 3,2.2162672837986204,3.9506770097440067,11.036173583398757,11.036173609219498,1.5093131731316087,1.684023266643171,0.020305273578033745,0.0
3,Segment 1,2.7189415906165184,3.6930331692019154,11.036173599943378,11.036173609301603,1.6030299441842737,1.8105939810208616,0.008755989452218726,0.0
3,Segment 2,2.772210415456628,3.7750296899878863,11.036173604227983,11.036173609447303,1.5131914478118813,1.5626495175902297,0.0015818705213749345,0.0
3,Segment 3,2.7531599319815094,3.834991031919862,11.036173606968463,11.036173609493492,1.6718092705117193,2.0577617464238247,0.0,0.0
6,Segment 1,2.71551265595978,3.8164402808925564,11.03617360553691,11.036173609479508,1.690464228948338,1.9586854148864408,0.0015818705213749345,0.0
6,Segment 2,2.785179492141283,3.7887690469983126,11.036173598392084,11.036173609396647,1.4295408180472524,1.7915986996188555,0.010390732027112111,0.0
6,Segment 3,2.8542395496565556,3.77869605386904,11.036173567932895,11.036173608999869,1.502925859822631,1.6639571753486493,0.038176722721596654,0.0
8,Segment 1,2.6550971058781676,3.800688843437629,11.036173606238858,11.03617360949206,1.6032158850972213,1.5930529645975535,0.0,0.0
8,Segment 2,2.845989886947597,3.8454274913824404,11.0361736046613,11.036173609458153,1.4740631439082863,2.1230016923714246,0.0,0.0
8,Segment 3,2.692492606421446,3.9582479106525295,11.036173605723473,11.036173609472163,1.4997212709079113,1.9317249180359441,0.0,0.0
9,Segment 1,2.6890096901806673,3.682237900364017,11.036173589134219,11.036173609294487,1.8747566963564393,2.014839437381169,0.025474203564830572,0.0
9,Segment 2,2.685553526649018,3.678632962466415,11.036173590016281,11.036173609306433,1.6744341437970123,1.845441555672192,0.023209971420943207,0.0
9,Segment 3,2.7049598985423238,3.7408352763598858,11.036173579694346,11.036173609206152,1.4968904904267535,1.7986632895490393,0.02482842079805663,0.0
10,Segment 1,2.7387953227638078,3.7205284660409093,11.036173603479138,11.03617360945751,1.8713743435405321,2.28007581776702,0.0,0.0
10,Segment 2,2.8054247372276677,3.7925698035375097,11.036173588197908,11.03617360927237,1.8728380625702563,1.9682572862746712,0.02578080175043758,0.0
10,Segment 3,2.7563873963427725,3.781110152342348,11.036173593149309,11.036173609285507,1.770825502010554,2.149297823734251,0.016612470005574947,0.0
11,Segment 1,2.77144955216201,3.7752191344535917,11.036173597174127,11.036173609334432,1.8377436699522156,1.9685846125383841,0.01323158168647501,0.0
11,Segment 2,2.774988590328319,3.822772750556285,11.036173595165323,11.036173609347278,1.6771870656380468,2.2248702661287028,0.009491223128249607,0.0
11,Segment 3,2.9739499843998325,3.9076957739303837,11.03617353814758,11.03617360823839,1.450401187421675,1.1987715062136064,0.04402474177715258,0.0
12,Segment 1,2.8654012271432743,3.7972255925117584,11.036173462667268,11.03617360730576,1.3360813775919562,1.5983170114153036,0.07280563268611522,0.0
12,Segment 2,2.6644312325664066,3.607684515920041,11.036173331317624,11.036173606264246,1.5774402146667723,1.506975839215093,0.08377536873722578,0.003163741042749869
12,Segment 3,2.732256303427438,3.6119757200565012,11.036173394239208,11.036173607124292,1.5513157457771003,1.27535064486873,0.08164379007497076,0.0
13,Segment 1,2.6293106962389334,3.9991015110335066,11.036173538832314,11.036173608611959,1.2879399570019119,1.6612750505763905,0.03887405293431576,0.0
13,Segment 2,2.617637797671941,3.8964119372345474,11.036173533112175,11.036173605662556,1.5035630767594885,1.0224979182910343,0.04694768076402207,0.0022113600903689162
13,Segment 3,2.6064375983170653,4.019657331037174,11.0361735613318,11.036173608977734,1.2347934483520269,2.022807844138897,0.030462907125540242,0.0
14,Segment 1,2.776857922802793,3.8469483564960396,11.03617358338836,11.036173609059372,1.6870554240593054,1.8035516754691536,0.027309800218294066,0.0
14,Segment 2,2.750465514247089,3.872759205883438,11.036173596452308,11.03617360937219,1.6527290614085608,2.174035959490723,0.005269357026081887,0.0
14,Segment 3,2.787506858166529,3.9039611416335873,11.036173565907053,11.036173608623557,1.6054008670004272,1.334286849437439,0.023399849369485207,0.0
15,Segment 1,2.678795973799142,3.933338011185198,11.03617359322643,11.036173609324726,1.797951642153239,2.2591810217732977,0.015353490867586984,0.0
15,Segment 2,2.655457064963379,3.705294588133801,11.03617357748034,11.03617360903054,1.7541186134681472,1.7406015907437755,0.03331439092040684,0.0
15,Segment 3,2.9026159661163393,3.8989936573544934,11.03617328986597,11.036173604458245,1.4637260037561888,1.29227077077809,0.05577921443624072,0.006956971654493721
16,Segment 1,2.6663241023882027,3.9133271956580953,11.036173431810319,11.036173607024741,1.4820201745785375,1.5677165835249962,0.07089687832117472,0.003163741042749869
16,Segment 2,2.7665938729943638,3.8937240970388727,11.03617354270283,11.036173608807172,1.6618517823862828,1.8567239863038716,0.04747674329373101,0.0
16,Segment 3,2.653213642942094,3.9137217669971416,11.036173531726917,11.036173603883675,1.329156031814824,0.949330523219378,0.021617124769540152,0.0022113600903689162
17,Segment 1,2.5915813592131687,3.5202747369941085,11.036173508848517,11.036173606656856,1.6117739770451804,1.5705432682278366,0.061988914383725766,0.0022113600903689162
17,Segment 2,2.6826205185395806,3.5681943106058482,11.036173385663528,11.036173607204908,1.503797949268583,1.3380223199698758,0.07867560400172738,0.0
17,Segment 3,2.77803206068104,3.7501542809096473,11.036173417310453,11.036173607219325,1.524773548326883,1.4637980171439766,0.07371647766821844,0.0
18,Segment 1,2.4627948961154233,4.007778176926616,11.036173572573489,11.036173608703297,1.7129321987242025,1.7364948472266792,0.023416142567265163,0.0022113600903689162
18,Segment 2,2.7813710371366165,3.909028898572596,11.03617312424263,11.03617360161437,1.5431029612350526,1.5200029605897456,0.10127809876417489,0.013231581686475008
18,Segment 3,2.6915453978360344,3.9732318215417615,11.036173476536078,11.036173600660867,1.3698353732966597,1.1146064171770882,0.0327743522606698,0.0022113600903689162
19,Segment 1,2.391198623657933,4.1185216517309575,11.03617347245537,11.036173607590364,1.4384904754288523,1.2410289552323877,0.06477891854488053,0.0015818705213749345
19,Segment 2,2.318991283679367,4.058391877029921,11.036173593558038,11.036173609365903,1.7114729358429552,2.2031883366072096,0.011020221596106092,0.0
19,Segment 3,2.6930041561773517,4.078256375044285,11.036173453899146,11.036173604863077,1.593251374784889,1.3568326287434345,0.04632553481809026,0.005375101133118786
21,Segment 1,2.811977935852573,3.7931774146755517,11.036173534315594,11.03617360851745,1.583124212911491,1.9055908261885532,0.06559493489953293,0.0
